id,price ($)
2060,100.0
2595,225.0
3831,89.0
5099,200.0
5121,60.0
5178,79.0
5203,79.0
5238,150.0
5441,99.0
5552,160.0
5803,89.0
6021,85.0
6090,120.0
6848,140.0
6990,65.0
7097,199.0
7726,99.0
7750,190.0
7801,299.0
8024,115.0
8110,32.0
8490,120.0
8700,80.0
9657,175.0
9668,50.0
9704,52.0
9783,50.0
10452,70.0
10962,89.0
11708,85.0
11943,150.0
12048,40.0
12192,59.0
12343,150.0
12627,150.0
12937,130.0
12940,110.0
13050,120.0
13394,80.0
13808,80.0
14290,228.0
14314,149.0
14322,200.0
14377,150.0
14468,85.0
14991,110.0
15220,69.0
15341,180.0
15385,90.0
15396,375.0
15711,200.0
15729,89.0
15962,130.0
16326,200.0
16338,45.0
16421,100.0
16458,225.0
16580,80.0
16821,99.0
16974,225.0
17037,250.0
17693,65.0
17747,105.0
18127,170.0
18195,90.0
18590,95.0
18728,150.0
19159,110.0
19282,130.0
19601,2.0
20300,50.0
20717,85.0
20724,65.0
20734,135.0
20755,98.0
20913,100.0
21293,105.0
21456,140.0
21644,89.0
21794,85.0
22911,125.0
23135,175.0
23545,200.0
23686,500.0
24143,101.0
24285,220.0
25235,125.0
25406,80.0
25696,100.0
25793,100.0
26012,200.0
26362,59.0
26520,125.0
26559,140.0
26785,120.0
26933,350.0
26969,325.0
27006,235.0
27385,225.0
27531,99.0
27644,170.0
27659,400.0
27759,170.0
27883,100.0
28907,150.0
29013,70.0
29455,110.0
29628,89.0
29683,185.0
30031,50.0
31130,130.0
31902,77.0
31994,76.0
32023,125.0
32037,135.0
32289,199.0
32329,160.0
32331,140.0
32363,140.0
32965,115.0
33009,195.0
33156,139.0
35526,156.0
36133,125.0
36442,115.0
36647,79.0
36703,225.0
36934,125.0
37042,150.0
37197,162.0
38638,219.0
38663,475.0
39267,99.0
39282,69.0
39572,119.0
39586,150.0
39593,79.0
39704,135.0
40453,250.0
41513,80.0
42580,70.0
42729,165.0
42882,70.0
43726,275.0
44096,38.0
44161,150.0
44212,125.0
44229,110.0
44288,150.0
44506,165.0
45393,150.0
45542,100.0
45556,65.0
45910,350.0
45936,99.0
45940,200.0
46544,150.0
46911,120.0
47199,90.0
47322,215.0
47362,175.0
47370,125.0
48719,299.0
50447,135.0
51438,130.0
51850,55.0
53137,195.0
53196,80.0
53469,98.0
53470,160.0
53477,265.0
54158,249.0
54453,105.0
54466,200.0
54508,100.0
54544,160.0
54626,42.0
54694,55.0
54860,100.0
55467,140.0
55498,71.0
55959,69.0
55982,85.0
56859,75.0
57166,140.0
57297,159.0
57468,189.0
57618,250.0
57740,239.0
57754,308.0
57874,155.0
57901,70.0
58059,60.0
58062,139.0
58467,120.0
59014,150.0
59121,145.0
59709,300.0
59855,250.0
60164,500.0
60193,150.0
60457,225.0
60611,125.0
60666,110.0
60673,175.0
60680,99.0
60794,195.0
60948,140.0
61167,135.0
61224,900.0
61406,65.0
61509,110.0
62427,130.0
62430,99.0
62452,38.0
62461,38.0
62465,129.0
62468,170.0
62787,37.0
62891,175.0
62903,205.0
62925,285.0
63003,103.0
63320,38.0
63360,129.0
63546,39.0
63573,60.0
63588,90.0
63610,110.0
63657,135.0
63693,390.0
63719,70.0
63913,75.0
64000,60.0
64015,200.0
64107,100.0
64277,70.0
64314,75.0
64365,60.0
64837,68.0
65019,190.0
65268,75.0
65556,60.0
65562,129.0
65615,130.0
65660,95.0
65813,75.0
65834,175.0
66008,190.0
66251,212.0
66275,95.0
66718,135.0
66741,150.0
66974,190.0
67288,124.0
67299,135.0
67397,122.0
68099,109.0
68305,85.0
68735,199.0
68765,250.0
68974,575.0
69894,150.0
70095,90.0
70128,65.0
70279,155.0
70609,500.0
71010,265.0
71248,130.0
71366,200.0
71384,229.0
71812,105.0
72190,110.0
72265,59.0
73246,60.0
74073,195.0
74240,169.0
74333,113.0
74680,115.0
74821,149.0
74860,75.0
75193,53.0
75635,150.0
76761,169.0
77765,179.0
77936,150.0
78919,135.0
80493,65.0
80684,349.0
80700,349.0
81739,249.0
82549,100.0
82550,200.0
82638,169.0
82928,185.0
83243,65.0
83446,130.0
83847,225.0
84010,179.0
84059,150.0
84659,159.0
86215,199.0
87279,69.0
89621,90.0
93313,120.0
94035,80.0
94209,100.0
94477,175.0
94783,120.0
95747,140.0
95883,200.0
96471,165.0
98663,130.0
99070,60.0
99085,123.0
100002,67.0
100184,50.0
100186,130.0
100368,279.0
101053,100.0
102995,212.0
103161,205.0
103311,599.0
105469,70.0
105510,68.0
105790,59.0
106363,60.0
106647,135.0
107630,175.0
110739,99.0
112100,165.0
112304,90.0
112359,225.0
112435,95.0
113092,90.0
113265,55.0
113945,95.0
114123,199.0
114229,211.0
115535,65.0
115678,99.0
115748,110.0
116551,79.0
116940,80.0
117425,175.0
118061,102.0
118680,87.0
120362,190.0
121687,200.0
121861,165.0
123784,110.0
125053,395.0
125163,60.0
125594,39.0
126443,189.0
126816,85.0
127387,260.0
128975,140.0
131154,165.0
132516,97.0
132661,76.0
132695,125.0
133025,130.0
134934,225.0
135393,50.0
135465,170.0
135706,132.0
136493,250.0
137121,100.0
137671,180.0
138216,141.0
139624,64.0
140133,249.0
140425,79.0
140973,225.0
141154,100.0
141335,900.0
141890,375.0
142069,150.0
144087,259.0
144148,96.0
145064,145.0
145994,95.0
148201,175.0
148259,451.0
148825,150.0
149287,250.0
149777,69.0
150804,250.0
150989,155.0
151199,129.0
151478,98.0
152071,150.0
152259,55.0
152263,300.0
153405,125.0
153780,175.0
154934,75.0
155296,250.0
157673,72.0
158061,165.0
158176,118.0
158913,130.0
158955,139.0
159749,88.0
159815,80.0
159913,150.0
160994,200.0
161366,33.0
161394,90.0
162493,450.0
162508,130.0
163809,198.0
163814,99.0
164989,140.0
165080,500.0
166006,250.0
166172,60.0
166541,75.0
166983,350.0
167013,205.0
167017,219.0
167222,60.0
168123,175.0
168810,175.0
