host_id,reviews_per_month,high_number_of_reviews
101924,0.49,1
102525,0.96,1
103640,2.98,1
103729,0.37,1
103960,0.93,1
104250,0.15,0
104458,0.87,1
105159,0.3,0
105538,0.35,0
106125,0.76,1
106627,0.3,0
107016,0.28,0
107156,1.55,1
107243,3.03,1
107340,0.04,0
107628,1.65,1
107675,0.11,0
107853,0.6,1
108326,0.0,0
109048,0.12,0
109505,1.77,1
109589,0.19,0
109738,2.76,1
109981,0.57,1
110026,1.95,1
110359,0.12,0
110506,0.25,0
110930,0.05,0
110958,0.37,1
111466,0.63,1
111723,0.18,0
111837,0.02,0
112793,0.11,0
112879,0.0,0
114590,0.0,0
114649,0.46,1
115256,1.31,1
115307,2.93,1
115560,0.26,0
116382,15.01,1
116599,0.9,1
117236,0.14,0
117287,0.9400000000000001,1
117949,1.27,1
118971,10.46,1
119441,1.6099999999999999,1
119445,1.61,1
119510,1.99,1
119588,2.0300000000000002,1
119900,0.17,0
119911,0.15,0
120223,0.21,0
120291,0.73,1
120623,0.21,0
120835,0.36,1
120847,0.98,1
121274,0.25,0
122975,0.0,0
123713,0.02,0
124171,0.05,0
124345,0.79,1
124352,0.17,0
124357,7.5,1
124866,0.77,1
125857,0.81,1
126607,3.5700000000000003,1
126718,0.03,0
127307,0.77,1
127560,2.21,1
127608,2.34,1
127767,0.18,0
127772,3.37,1
128256,1.04,1
128480,4.26,1
128663,0.02,0
128669,0.18,0
128890,0.1,0
128920,0.12,0
129352,1.74,1
129558,0.15,0
130023,1.34,1
130216,0.12,0
130279,1.46,1
130804,0.0,0
130901,1.04,1
131014,0.07,0
131886,0.49,1
131914,1.02,1
132132,0.8,1
132244,0.0,0
134095,2.27,1
134355,0.43,1
134516,1.8,1
134936,0.39,1
136227,1.9,1
136352,0.58,1
136962,1.29,1
137292,0.03,0
137432,0.04,0
137814,11.08,1
137974,3.96,1
138069,0.61,1
138243,0.48,1
139612,0.09,0
139853,0.03,0
139874,0.03,0
140025,0.01,0
140226,0.66,1
140817,0.18,0
141300,1.14,1
141933,2.11,1
142053,4.43,1
